,president,party,word_count,Indian Issues,Education,Agriculture,Development,War,Corporations,Banking,Revolutionary War,Mexican War,Diplomacy,Employment,Colonies,Taxation,Communism,Spanish War,Civil War,British Conflict,Infrastructure,Naval Concerns,Terrorism,Indian Conflict,Democracy,Tariffs,Currency,Globalism,topic_sum
27,McKinley,Republican,65875.0,0.09936285411745613,0.0,0.0017778440181403967,0.015647022071629442,0.02800858277194291,0.1212859716150626,0.0,0.03697104751057978,0.000928325267019363,0.20526835684528905,0.0,0.0,0.0019082547320459049,0.0052587793331210445,0.15096111648949168,0.04517824641847357,0.028124280137175495,0.023670679428517773,0.0023660229522856477,0.0,0.00022888411011987142,0.0,0.020663082437275986,0.19573062072325967,0.01666002902111371,4.0
28,Monroe,Democratic-Republican,42109.0,0.004282097148590049,0.0,0.007557933270294753,0.0024437488164348736,0.0013334034686072632,0.0015644555694618273,0.014151067930985414,0.03243527626728675,0.010117753711964978,0.006450722687916106,0.00012750655286841324,0.36135515922346156,0.0009720928577678022,0.005120588385056977,0.3589791320210497,0.01587950039911629,0.048690943999338376,0.0016208168067634611,0.01968444531395861,0.0013873221498489868,0.0512993136739715,0.0010216664299456401,0.041567150060566514,0.006202846739054285,0.005755056515689859,8.0
29,Nixon,Republican,19754.0,0.0,0.11905097935003836,0.008412898771185983,0.04426391246719401,0.020477754259655232,0.0,0.0,0.0,0.0,0.00527127768607524,0.01964704172954516,0.0009251713724174297,0.26965605601023035,0.04998124514935699,0.0005632520013422175,0.0,0.0069670035568335145,0.01069608113412446,0.0001817380032873198,0.020543004752110603,0.004187217137117254,0.0,0.0,0.0,0.41917536661948585,5.0
30,Obama,Democratic,53510.0,7.438005092438835e-05,0.06941709433228965,0.011727881334796887,0.009945294436716823,0.008706288167858324,0.00483246482212487,0.01906578663819138,0.0016987424818132582,0.0015720373913600835,0.0005836882249031179,0.6488228655165281,0.0032802053350536706,0.08230530456967651,0.020741845025425993,0.0011866819489986804,0.0024769695522887597,0.0,0.006004733862326405,0.0013955937939561158,0.022902588394163034,0.0,0.027598003370716974,0.008918494724106347,0.0006255130530082485,0.04611754297277237,8.0
31,Pierce,Democratic,41685.0,0.051419289891967875,0.0,0.00932676647973115,0.000989051175779605,0.0015246734794251053,0.02116149507359436,0.027348331507855088,0.03291453474645398,0.05114430151796798,0.03676951697625822,0.0,0.12064302405730164,0.0,0.0038917702594721596,0.059089407956357975,0.37642819410746386,0.09837211202217379,0.060616741558474616,0.010461562779914644,0.0,0.011954498105011192,0.004827730902010031,0.0019890405184677805,0.0013277833394804786,0.017800173544838507,4.0
32,Polk,Democratic,71598.0,0.011018263873900268,0.0,0.016863879019662326,0.0,0.006599177187972827,0.003850952803046143,0.05701715663899499,0.04896238191288094,0.5542421165344644,0.007647921699037495,0.001977734394074795,0.05468616111175708,0.004689584394702821,0.004980404603720999,0.012682425488180885,0.10430143237027244,0.00500770811921891,0.0,0.012401834721100218,0.0009828204426652074,0.002411824122364,0.0038124792995694315,0.05988864474433838,0.025975096518075343,0.0,4.0
33,Reagan,Republican,32635.0,0.0,0.2717840505821649,0.0222929890436939,0.009959800648403811,0.006432498362258615,0.003070672713529857,0.0,0.0007593014426727412,0.0,0.003094390506118379,0.031813924544617324,0.0029544427139199803,0.2647533521193761,0.23446657849857355,2.1534837569346318e-05,0.02075939949994226,0.0011948428542059859,0.005441737268547548,1.4967570264427076e-05,0.026154229825393373,0.0,0.0778414464408538,0.00543821719607517,0.005709397307121421,0.006042226024697541,7.0
34,Taft,Republican,68887.0,0.05073864261020791,0.0012406130604716524,0.11772300304200706,0.0020585393702516356,0.0009336697909156451,0.19362688870551403,0.06959217166511174,0.0038657277177472577,0.019191925337356874,0.31728866553183527,0.00826299180585499,0.016027417682409322,0.0004817317317317317,0.012470407613473379,0.0,0.019368346762290812,0.015346071368492354,0.018861710069825656,0.0,0.0,0.00977519337879006,0.0014383561643835612,0.09979117039753459,0.01442699860707411,0.007489757586720381,4.0
35,Taylor,Whig,7603.0,0.0546200667132819,0.0,0.02255871800456218,0.008918029780258829,0.0,0.0,0.0,0.0,0.2263207968912986,0.09370808927199992,0.0,0.04402847350382283,0.0,0.0,0.07658272103073166,0.22127718107727049,0.11686287096367451,0.0,0.06547530347665607,0.0,0.06964774928644299,0.0,0.0,0.0,0.0,1.0
36,Theodore Roosevelt,Republican,157464.0,0.020157013877555457,0.011636072004352686,0.007775224039217323,0.015702540391008157,0.014294197201865408,0.5899536453728123,0.034039591908089556,0.006870227834974267,0.014234422232333607,0.03199324748608172,0.005912678670221289,0.0156574280875477,0.00517416830421484,0.009786156632132578,0.016728290171130297,0.020903223557729684,0.0051943875268796475,0.027860927155834506,0.014233340858186436,0.013817607744616215,0.0191285169106055,0.01338655169399534,0.04227838767208104,0.007888579355995953,0.035393573310538495,8.0
37,Truman,Democratic,66030.0,0.010120974502495581,0.006185689554276798,0.04201495641602135,0.2752682115785022,0.05692056347943906,0.0046928872829395864,0.0,0.00010156441440860492,0.0,0.0026486204089567105,0.026284327459324828,0.00231427492342984,0.03430842069661083,0.2258783143956912,0.0005067068739083029,0.010871680544599189,0.0,0.00547805098649615,0.009889996688875122,0.005179801961137418,0.0017587026046241168,0.06545793886725013,0.062104765993545016,0.010236982232472484,0.14177656813499548,8.0
38,Trump,Republican,10198.0,0.000497437253642626,0.12399991889098515,0.012404447970581938,0.0,0.06664146801869725,0.02486115990144912,0.0,0.0,0.018831891863897665,0.02619860132857782,0.3509395894380525,0.0,0.019026101817805167,0.003573463151898078,0.0,0.005709772644880625,0.0006422607578676943,0.0,0.0,0.3061421958009355,0.00584331356177667,0.0,0.0,0.003431687382724445,0.03125669021622779,2.0
39,Tyler,Unaffiliated,33922.0,0.0,2.611437145081952e-05,0.0004542575614415798,0.002380309621953878,0.0,0.01051330373709212,0.1978390666157923,0.0,0.2254186392778834,0.0007563291614803989,0.0,0.0783797085618349,0.0,0.0032343138374640486,0.029074734481752695,0.02047579003938297,0.06076347566133328,0.044588173832994016,0.005265003455558694,0.0015193816116840448,0.09433464738330144,0.0025853227736311324,0.010386397736121399,0.15802447232561168,0.05398055795223515,4.0
40,Washington,Unaffiliated,14133.0,0.0,0.0014323395897667304,0.005944248857127844,0.005170824015153632,0.002597487317309664,0.0,0.0065030182436354505,0.03894332747070433,0.004574217600313941,0.010081431953586389,0.0015453424230773814,0.015554369767115524,0.0,0.009007801765103253,0.03600964957616891,0.036826436882997145,0.02942113482689539,0.021737769326499446,0.02734971958709066,0.005612468746329352,0.7139611318269802,0.004226121903300253,0.0015533302493491886,0.01415775271435546,0.007790075357139904,6.0
41,Wilson,Democratic,34834.0,0.007526512061147458,0.004078567042256592,0.02010864276624221,0.014128722881224806,0.03811273724167469,0.015571646663125875,0.015595602765153236,0.009237524931577694,0.007404340866764583,0.0033123052725596114,0.0018156021546748748,0.012304881674441302,0.011380732394638817,0.010028569087956003,0.0,0.00921385597486065,0.0024013260245839144,0.5689881446219326,0.014443352544048091,0.0,0.015918127103161043,0.09675751938223352,0.0350108498671759,0.01249956205748324,0.07416087462108323,8.0
